"TIPO_EVENTO";"DEPARTAMENTO";"CODIGO_DANE_DEPARTAMENTO";"MUNICIPIO";"CODIGO_DANE_MUNICIPIO";"AÑO";"MES";"EVENTO";"TIPO_LUGAR";"TIPO_AREA";"LATITUD_CABECERA";"LONGITUD_CABECERA";"SITIO";"UBICACION";"uno";"date"
"Accidente por MAP";"ARAUCA";81;"FORTUL";81300;2008;5;"Accidente";"Sin informacion";"Rural";6.792924;-71.770658;"Sector Cerro Del Burro";"POINT (-71.770658 6.792924)";"2008-05-01";39569
"Desminado militar en operaciones";"ANTIOQUIA";5;"URRAO";5847;2004;9;"Incidente";"Sin informacion";"Rural";6.449444;-76.081667;"";"POINT (-76.081667 6.449444)";"2004-09-01";38231
"Accidente por MAP";"CHOCO";27;"BAGADÓ";27073;2018;6;"Accidente";"Sin informacion";"Rural";5.391944444;-76.40222222;"Sin información";"POINT (-76.40222222 5.391944444)";"2018-06-01";43252
"Desminado militar en operaciones";"CAUCA";19;"TORIBÍO";19821;2010;9;"Incidente";"Sin informacion";"Rural";2.948611;-76.261667;"La Vereda La Bodega";"POINT (-76.261667 2.948611)";"2010-09-01";40422
"Desminado militar en operaciones";"NORTE DE SANTANDER";54;"EL TARRA";54250;2007;4;"Incidente";"Sin informacion";"Rural";8.775;-73.050556;"";"POINT (-73.050556 8.775)";"2007-04-01";39173
"Desminado militar en operaciones";"ANTIOQUIA";5;"REMEDIOS";5604;2009;9;"Incidente";"Sin informacion";"Rural";6.931667;-74.364167;"El Vijao";"POINT (-74.364167 6.931667)";"2009-09-01";40057
"Accidente por MAP";"CAQUETA";18;"MONTAÑITA";18410;2004;12;"Accidente";"Sin informacion";"Rural";1.494944213;-75.46308951;"Sin información";"POINT (-75.46308951 1.494944213)";"2004-12-01";38322
"Sospecha de campo minado";"BOLIVAR";13;"EL CARMEN DE BOLÍVAR";13244;2012;11;"Incidente";"Campamentos ilegales";"Rural";9.79019;-75.067;"Bol_C.Bol_Fule_2012_17 (Las Pelotas Arribas)";"POINT (-75.067 9.79019)";"2012-11-01";41214
"Desminado militar en operaciones";"META";50;"VISTAHERMOSA";50711;2009;4;"Incidente";"Sin informacion";"Rural";2.807778;-73.633333;"El Sector Betty La Fea";"POINT (-73.633333 2.807778)";"2009-04-01";39904
"Desminado militar en operaciones";"NORTE DE SANTANDER";54;"EL TARRA";54250;2015;2;"Incidente";"Sin informacion";"Rural";8.655;-72.95972222;"Vereda Zona De Reserva";"POINT (-72.95972222 8.655)";"2015-02-01";42036
